Sample Name,solute_smiles,RT,Solvent,Solubility,solvent_smiles
"2,6-Dimethoxy-1,4-benzoquinone",COC1=CC(=O)C=C(C1=O)OC,3.493,MeOH,0,CO
"2,6-Dimethoxybenzoyl_chloride",COC1=C(C(=CC=C1)OC)C(=O)Cl,3.843,MeOH,0,CO
2-(3-Chlorophenoxy)propionic-acid,CC(C(=O)O)OC1=CC(=CC=C1)Cl,4.927,MeOH,1,CO
2-(4-Chlorobenzoyl)benzoic_acid,C1=CC=C(C(=C1)C(=O)C2=CC=C(C=C2)Cl)C(=O)O,5.135,MeOH,1,CO
2-(Diphenylphosphino)benzoic-acid,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3C(=O)O,5.731,MeOH,0,CO
2-(Trifluoromethyl)pyridine-4-carboxylic_acid,C1=CN=C(C=C1C(=O)O)C(F)(F)F,4.521,MeOH,1,CO
2-Amino-4-phenylphenol,C1=CC=C(C=C1)C2=CC(=C(C=C2)O)N,4.231,MeOH,0,CO
2-Amino-6-bromopyridine,C1=CC(=NC(=C1)Br)N,4.028,MeOH,1,CO
2-Benzyloxybenzoic_acid ,C1=CC=C(C=C1)COC2=CC=CC=C2C(=O)O,5.023,MeOH,1,CO
"2-Bromo-2',6'-diisopropoxy-1,1'-biphenyl",CC(C)OC1=C(C(=CC=C1)OC(C)C)C2=CC=CC=C2Br,6.433,MeOH,1,CO
2-Bromo-5-(trifluoromethyl)benzaldehyde,C1=CC(=C(C=C1C(F)(F)F)C=O)Br,5.538,MeOH,1,CO
2-Bromo-5-chlorotoluene,CC1=C(C=CC(=C1)Cl)Br,6.108,MeOH,1,CO
2-Bromoanthraquinone,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C=C(C=C3)Br,6.069,MeOH,0,CO
2-Bromonaphthalen-1-ol,C1=CC=C2C(=C1)C=CC(=C2O)Br,5.391,MeOH,1,CO
2-Bromophenethylamine,C1=CC=C(C(=C1)CCN)Br,1.793,MeOH,1,CO
2-Bromotoluene,CC1=CC=CC=C1Br,5.8,MeOH,1,CO
